id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
363	锻炼	3	30	duàn liàn	to exercise	to work out	to toughen	to temper	t	3	hsk	536
364	多么	3	27	duō me	how (wonderful etc)	what (a great idea etc)	however (difficult it may be etc)		f	1	hsk	537
365	饿	3	25	è	to be hungry	hungry			f	2	hsk	
366	而且	3	33	ér qiě	(not only ...) but also	moreover	in addition	furthermore	f	3	hsk	541
367	耳朵	3	30	ěr duo	ear	CL:隻|只	個|个	對|对[duì]	f	1	hsk	
368	发烧	3	30	fā shāo	to have fever	to have a fever			t	2	hsk	544
369	发现	3	44	fā xiàn	to find	to discover			f	4	hsk	547
370	方便	3	41	fāng biàn	convenient	to help out	to make things easy for people	convenience	f	1	hsk	549
371	放	3	26	fàng	place	to free	to let go	to put	t	1	hsk	
372	放心	3	43	fàng xīn	to feel relieved	to feel reassured	to be at ease		f	1	hsk	552
373	分	3	25	fēn	cents	to separate	to allocate	to distinguish (good and bad)	t	2	hsk	
374	附近	3	29	fù jìn	close	nearby	neighboring	next to	t	1	hsk	
375	复习	3	33	fù xí	review	to revise	to review	revision	t	2	hsk	556
376	干净	3	26	gān jìng	clean	neat			f	3	hsk	
377	敢	3	43	gǎn	to dare	daring	(polite) may I venture		f	3	hsk	
378	感冒	3	30	gǎn mào	to catch cold	(common) cold	CL:場|场	次[cì]	f	2	hsk	
379	刚才	3	33	gāng cái	(just) a moment ago				f	2	hsk	
380	根据	3	41	gēn jù	according to	based on	basis	foundation	f	3	hsk	
381	跟	3	24	gēn	with	to follow closely	to go with	to marry sb (of woman)	t	1	hsk	
382	更	3	40	gèng	more	even more	further	still	f	1	hsk	
383	公园	3	27	gōng yuán	public park	CL:場|场[chǎng]			f	1	hsk	585
384	故事	3	31	gù shi	story	story	tale		t	2	hsk	586
385	刮风	3	27	guā fēng	windy				t	3	hsk	
386	关	3	26	guān	close	to close	to shut	to turn off	t	2	hsk	
387	关系	3	42	guān xì	relationship				t	2	hsk	
388	关心	3	30	guān xīn	to care for sth	caring	concerned		f	3	hsk	
389	关于	3	31	guān yú	pertaining to	concerning	regarding	with regards to	f	2	hsk	
390	国家	3	27	guó jiā	country	nation	state	CL:個|个[gè]	f	1	hsk	603
391	果汁	3	25	guǒ zhī	fruit juice				f	2	hsk	608
392	过去	3	38	guò qu	(in the) past	former	previous	to go over	f	3	hsk	610
393	还是	3	25	hái shi	or	still	nevertheless	had better	f	1	hsk	613
394	害怕	3	43	hài pà	to be afraid	to be scared			f	2	hsk	618
395	河	3	27	hé	river	CL:條|条	道[dào]		f	1	hsk	
396	黑板	3	33	hēi bǎn	blackboard	CL:塊|块	個|个[gè]		f	4	hsk	625
397	护照	3	38	hù zhào	passport	CL:本	個|个[gè]		f	1	hsk	
398	花	3	27	huā	flower	blossom	CL:朵	支	f	2	hsk	
399	花园	3	27	huā yuán	garden	CL:座	個|个[gè]		f	2	hsk	635
400	画	3	31	huà	to draw	picture	painting	CL:幅	f	1	hsk	
401	坏	3	38	huài	bad	spoiled	broken	to break down	f	4	hsk	
402	环境	3	28	huán jìng	environment	circumstances	surroundings	CL:個|个[gè]	f	1	hsk	637
403	换	3	38	huàn	to change	to exchange			f	4	hsk	
404	黄	3	32	huáng	yellow	pornographic	to fall through		f	2	hsk	
405	会议	3	28	huì yì	meeting	conference	CL:場|场	屆|届[jiè]	f	4	hsk	639
406	或者	3	31	huò zhě	or	possibly	maybe	perhaps	f	3	hsk	
407	机会	3	36	jī huì	opportunity	chance	occasion	CL:個|个[gè]	f	1	hsk	644
408	几乎	3	24	jī hū	almost	nearly	practically		f	3	hsk	645
409	极	3	43	jí	extremely	pole (geography	physics)	utmost	f	2	hsk	
410	记得	3	38	jì de	to remember				f	1	hsk	
411	季节	3	39	jì jié	season	season	period	CL:個|个[gè]	t	2	hsk	
412	检查	3	30	jiǎn chá	inspection	to examine	to inspect	CL:次[cì]	f	2	hsk	
413	简单	3	31	jiǎn dān	simple	not complicated			f	1	hsk	658
414	见面	3	25	jiàn miàn	to meet	to see sb	CL:次[cì]		f	4	hsk	665
415	健康	3	30	jiàn kāng	health	healthy			f	3	hsk	666
416	讲	3	33	jiǎng	to speak	to explain	to negotiate	to emphasise	f	3	hsk	
417	教	3	33	jiāo	to teach				f	4	hsk	
418	脚	3	30	jiǎo	foot	leg	base	kick	f	1	hsk	
419	角	3	41	jiǎo	10 cents	corner	horn	horn-shaped	t	2	hsk	
420	接	3	29	jiē	to receive	to answer (the phone)	to meet or welcome sb	to connect	f	3	hsk	
421	街道	3	29	jiē dào	street	CL:條|条[tiáo]	subdistrict	residential district	f	3	hsk	668
422	节目	3	40	jié mù	program	item (on a program)	CL:臺|台	個|个	f	3	hsk	
423	节日	3	36	jié rì	holiday	festival	CL:個|个[gè]		f	1	hsk	
424	结婚	3	36	jié hūn	to marry	to get married	CL:次[cì]		f	2	hsk	
425	结束	3	28	jié shù	end	to finish	to end	to conclude	t	4	hsk	
426	解决	3	37	jiě jué	to resolve	to resolve	to solve	to dispose of	t	3	hsk	682
427	借	3	37	jiè	to lend	to borrow	by means of	to take (an opportunity)	f	2	hsk	
428	经常	3	34	jīng cháng	often	everyday	daily	frequently	t	3	hsk	688
429	经过	3	28	jīng guò	to pass	to go through	process	course	f	2	hsk	692
430	经理	3	41	jīng lǐ	manager	director	CL:個|个	位	f	3	hsk	
431	久	3	39	jiǔ	(long) time	(long) duration of time			f	1	hsk	
432	旧	3	38	jiù	old	opposite: new 新	former	worn (with age)	f	4	hsk	
433	举行	3	34	jǔ xíng	to hold (a meeting	ceremony etc)			f	1	hsk	
434	句子	3	31	jù zi	sentence	CL:個|个[gè]			f	1	hsk	703
435	决定	3	25	jué dìng	to decide	to resolve	decision	CL:個|个	t	4	hsk	
436	渴	3	25	kě	thirsty				f	2	hsk	
437	可爱	3	32	kě ài	adorable	cute	lovely		f	2	hsk	707
438	刻	3	29	kè	quarter (hour)	moment	to carve	to engrave	f	4	hsk	
439	客人	3	36	kè rén	visitor	guest	customer	client	f	3	hsk	708
440	空调	3	39	kōng tiáo	air conditioning				f	2	hsk	
441	口	3	24	kǒu	mouth	classifier for things with mouths (people	domestic animals	cannons	f	2	hsk	
442	哭	3	43	kū	to cry	to weep			f	2	hsk	
443	裤子	3	32	kù zi	trousers	pants	CL:條|条[tiáo]		f	1	hsk	
444	筷子	3	25	kuài zi	chopsticks	CL:對|对	根	把	f	3	hsk	718
445	蓝	3	32	lán	blue	indigo plant			f	1	hsk	
446	老	3	24	lǎo	old	old (of people)	venerable (person)	experienced	t	3	hsk	
447	离开	3	26	lí kāi	to depart	to leave			f	2	hsk	720
448	礼物	3	36	lǐ wù	gift	present	CL:件	個|个	f	3	hsk	722
449	历史	3	33	lì shǐ	history	CL:門|门	段[duàn]		f	2	hsk	
450	脸	3	30	liǎn	face	CL:張|张	個|个[gè]		f	2	hsk	
451	练习	3	34	liàn xí	practice	drill	practice	CL:個|个[gè]	t	1	hsk	
452	辆	3	29	liàng	classifier for vehicles				f	2	hsk	
453	了解	3	40	liǎo jiě	to understand	to realize	to find out		f	1	hsk	
454	邻居	3	29	lín jū	neighbor	next door	CL:個|个[gè]		f	2	hsk	
455	楼	3	28	lóu	building	storied building	floor	CL:層|层	t	1	hsk	
456	绿	3	32	lǜ	green				f	2	hsk	
457	马	3	35	mǎ	horse	CL:匹pi	horse or cavalry piece in Chinese chess	knight in Western chess	f	2	hsk	
458	马上	3	41	mǎ shàng	at once	right away	immediately	on horseback (i.e. by military force)	f	1	hsk	
459	满意	3	43	mǎn yì	satisfied	pleased	to one's satisfaction		f	2	hsk	
460	帽子	3	32	mào zi	hat	cap	(fig.) label	bad name	f	2	hsk	
461	米	3	25	mǐ	rice	CL:粒[lì]	meter (classifier)		f	1	hsk	
462	面包	3	25	miàn bāo	bread	CL:片	袋	塊|块[kuài]	f	2	hsk	
463	面条	3	25	miàn tiáo	noodles				f	1	hsk	
464	明白	3	33	míng bai	understand	obvious	unequivocal	to understand	t	3	hsk	
465	拿	3	37	ná	to take	to seize	to catch	to apprehend	t	1	hsk	
466	奶奶	3	24	nǎi nai	grandma	(respectful) mistress of the house	CL:位[wèi]		t	1	hsk	
467	南	3	29	nán	south				f	4	hsk	
468	难	3	35	nán	difficult	problem	difficulty	difficult	t	2	hsk	
469	难过	3	43	nán guò	to feel sad	to feel unwell	(of life) to be difficult		f	3	hsk	
470	年级	3	33	nián jí	grade	CL:個|个[gè]			f	1	hsk	
471	年轻	3	24	nián qīng	young				f	2	hsk	
472	鸟	3	35	niǎo	bird	CL:隻|只	群[qún]		f	3	hsk	
473	努力	3	34	nǔ lì	great effort	to strive	to try hard		f	2	hsk	
474	爬山	3	27	pá shān	to hike	to mountaineer	hiking	mountaineering	t	2	hsk	
475	盘子	3	44	pán zi	plate	plate	dish	CL:個|个[gè]	t	3	hsk	
476	胖	3	30	pàng	fat	plump			f	3	hsk	
477	啤酒	3	44	pí jiǔ	beer	CL:杯	瓶	罐	f	1	hsk	
478	葡萄	3	44	pú tao	grape				f	3	hsk	
479	普通话	3	33	pǔ tōng huà	Mandarin	Putonghua (common speech of the Chinese language)	ordinary speech		t	4	hsk	
480	骑	3	35	qí	to ride	to sit astride			t	2	hsk	
481	其实	3	44	qí shí	actually	in fact	really		f	1	hsk	
482	其他	3	28	qí tā	other	the others	else	other than (that person)	f	4	hsk	
483	奇怪	3	25	qí guài	strange	odd	to marvel	to be baffled	f	4	hsk	
484	铅笔	3	31	qiān bǐ	pencil	CL:支	枝	桿|杆[gǎn]	t	1	hsk	
485	清楚	3	29	qīng chu	clear	distinct	to understand thoroughly	to be clear about	f	2	hsk	
486	秋	3	39	qiū	fall				t	2	hsk	
487	裙子	3	32	qún zi	skirt	CL:條|条[tiáo]			t	2	hsk	
488	然后	3	34	rán hòu	after	then (afterwards)	after that	afterwards	f	3	hsk	
489	热情	3	42	rè qíng	cordial	enthusiastic	passion	passionate	f	1	hsk	
490	认为	3	35	rèn wéi	to believe	to think	to consider	to feel	f	1	hsk	
491	认真	3	33	rèn zhēn	conscientious	earnest	serious	to take seriously	f	3	hsk	
492	容易	3	44	róng yì	easy	likely	liable (to)		f	2	hsk	
493	如果	3	33	rú guǒ	if	in case	in the event that		f	3	hsk	
494	伞	3	38	sǎn	umbrella	parasol	CL:把[bǎ]		f	1	hsk	
495	上网	3	41	shàng wǎng	to be on the internet	to stretch a net (in a sports game or for covering sth)	to be netted (of fish)		f	1	hsk	
496	生气	3	43	shēng qì	angry	mad	offended	animated	f	2	hsk	
497	声音	3	35	shēng yīn	voice	sound	CL:個|个[gè]		f	3	hsk	
498	使	3	43	shǐ	to make	to cause	to enable	to use	f	3	hsk	
499	世界	3	27	shì jiè	world	CL:個|个[gè]			f	3	hsk	
500	瘦	3	30	shòu	thin	to lose weight	(of clothing) tight	(of meat) lean	f	3	hsk	
501	舒服	3	32	shū fu	comfortable	feeling well			f	3	hsk	
502	叔叔	3	24	shū shu	father's younger brother	uncle	Taiwan pr. [shú shu]	CL:個|个[gè]	f	3	hsk	
503	树	3	27	shù	tree	CL:棵[kē]	to cultivate	to set up	f	2	hsk	
504	数学	3	33	shù xué	mathematics	mathematical			f	4	hsk	
505	刷牙	3	26	shuā yá	to brush teeth	to paint	to daub	to paste up	t	4	hsk	
506	双	3	25	shuāng	pair	double	pair	both	t	3	hsk	
507	水平	3	34	shuǐ píng	level	standard	horizontal		t	2	hsk	
508	司机	3	29	sī jī	driver	driver	CL:個|个[gè]		t	2	hsk	
509	虽然	3	39	suī rán	although	even though	even if		f	1	hsk	
510	太阳	3	27	tài yáng	sun	CL:個|个[gè]			f	3	hsk	
511	糖	3	44	táng	sugar	sweets	candy	CL:顆|颗	f	4	hsk	
512	特别	3	44	tè bié	especially	special	particular	unusual	f	2	hsk	
513	疼	3	30	téng	hurts	sore	to love dearly		t	1	hsk	
514	提高	3	34	tí gāo	to raise	to increase			f	2	hsk	
515	体育	3	34	tǐ yù	sports	physical education			f	2	hsk	
516	甜	3	44	tián	sweet				f	1	hsk	
517	条	3	32	tiáo	strip	item	article	clause (of law or treaty)	f	1	hsk	
518	同事	3	28	tóng shì	colleague	co-worker	CL:個|个	位[wèi]	f	1	hsk	
519	同意	3	40	tóng yì	to agree	to consent	to approve		f	4	hsk	
520	头发	3	30	tóu fa	hair				t	1	hsk	
521	突然	3	28	tū rán	sudden	abrupt	unexpected		f	3	hsk	
522	图书馆	3	33	tú shū guǎn	library	CL:家	個|个[gè]		f	2	hsk	
523	腿	3	30	tuǐ	leg	CL:條|条[tiáo]			f	1	hsk	
524	完成	3	28	wán chéng	to complete	to accomplish			f	4	hsk	
525	碗	3	25	wǎn	bowl	cup	CL:隻|只	個|个[gè]	f	1	hsk	
526	万	3	41	wàn	ten thousand	a great number			f	2	hsk	
527	忘记	3	38	wàng jì	to forget				f	2	hsk	
528	为了	3	34	wèi le	in order to	for the purpose of	so as to		f	2	hsk	
529	为什么	3	28	wèi shén me	why	for what reason?			t	3	hsk	
530	位	3	36	wèi	formal counter for people	location	place	seat	t	3	hsk	
531	文化	3	36	wén huà	culture	civilization	cultural	CL:個|个	f	1	hsk	
532	西	3	29	xī	west				f	1	hsk	
533	习惯	3	28	xí guàn	used to	custom	usual practice	to be used to	t	2	hsk	
534	洗手间	3	26	xǐ shǒu jiān	toilet	lavatory	washroom		f	3	hsk	
535	洗澡	3	26	xǐ zǎo	to bathe	to take a shower			f	4	hsk	
536	夏	3	39	xià	summer				f	2	hsk	
537	先	3	28	xiān	first	prior	former	in advance	t	1	hsk	
538	香蕉	3	44	xiāng jiāo	banana	CL:枝	根	個|个	f	2	hsk	
539	相同	3	24	xiāng tóng	identical	same			f	2	hsk	
540	相信	3	31	xiāng xìn	to believe	to believe	to accept sth as true		t	2	hsk	
541	像	3	30	xiàng	to resemble	to be like	to look as if	such as	f	3	hsk	
542	小心	3	40	xiǎo xīn	to be careful	to take care			f	3	hsk	
543	校长	3	33	xiào zhǎng	principal	university) president	headmaster	CL:個|个	t	4	hsk	
544	鞋	3	38	xié	shoe	CL:雙|双	隻|只[zhī]		f	2	hsk	
545	新闻	3	40	xīn wén	news	CL:條|条	個|个[gè]		f	3	hsk	
546	新鲜	3	44	xīn xiān	fresh	food etc)	freshness	novel	t	2	hsk	
547	信	3	31	xìn	believe	mail	CL:封[fēng]	to trust	t	2	hsk	
548	行李箱	3	38	xíng li xiāng	suitcase				f	2	hsk	
549	兴趣	3	40	xìng qù	interest	interest (thing in which one is interested)	hobby	CL:個|个[gè]	t	1	hsk	
550	熊猫	3	35	xióng māo	panda	CL:隻|只[zhī]			f	1	hsk	
551	需要	3	39	xū yào	to need	to want	to demand	to require	f	2	hsk	
552	选择	3	25	xuǎn zé	to select	to pick	choice	option	f	3	hsk	
553	眼镜	3	38	yǎn jìng	spectacles	eyeglasses	CL:副[fù]		f	4	hsk	
554	要求	3	31	yāo qiú	to request	to require	to stake a claim	to ask	f	3	hsk	
555	爷爷	3	24	yé ye	grandgather	paternal grandfather	CL:個|个[gè]		t	1	hsk	
556	一定	3	41	yī dìng	surely	certainly	necessarily	fixed	f	3	hsk	
557	一共	3	41	yī gòng	altogether				f	2	hsk	
558	一会儿	3	37	yī huì r	a while	also pr. [yī huǐ r]			f	2	hsk	
559	一样	3	32	yī yàng	same	like	equal to	the same as	f	1	hsk	
560	以后	3	34	yǐ hòu	after	later	afterwards	following	f	3	hsk	
561	以前	3		yǐ qián	before	formerly	previous	ago	f		hsk	
562	以为	3	44	yǐ wéi	to believe	to think	to consider	to be under the impression	f	4	hsk	
563	一般	3	42	yī bān	generally	ordinary	so-so	common	t	1	hsk	
564	一边	3	43	yī biān	one side	either side	on the one hand	on the other hand	f	1	hsk	
565	一直	3	29	yī zhí	continuously	continuously	always	from the beginning of ... up to ...	t	3	hsk	
566	音乐	3	40	yīn yuè	music	CL:張|张	曲	段[duàn]	f	2	hsk	
567	银行	3	41	yín háng	bank	CL:家	個|个[gè]		f	1	hsk	
568	应该	3	40	yīng gāi	should	should	must		t	3	hsk	
569	影响	3	40	yǐng xiǎng	affect	an effect	to influence	to affect (usually adversely)	t	4	hsk	
570	用	3	25	yòng	to use	to employ	to have to	to eat or drink	f	3	hsk	
571	游戏	3	34	yóu xì	game	CL:場|场[chǎng]	to play		f	3	hsk	
572	有名	3	25	yǒu míng	famous	well-known			f	4	hsk	
573	又	3	28	yòu	again	also	both... and...	and yet	t	3	hsk	
574	遇到	3	42	yù dào	to meet (by chance)	to run into	to come across		t	2	hsk	
575	愿意	3	37	yuàn yì	willing	to want	ready	willing (to do sth)	t	3	hsk	
576	越	3	44	yuè	the more	to climb over	to surpass	the more... the more	t	4	hsk	
577	月亮	3	27	yuè liang	moon				f	3	hsk	
578	云	3	27	yún	cloud	CL:朵[duǒ]			f	3	hsk	
579	站	3	29	zhàn	station	to stand	to halt	to stop	f	1	hsk	
580	着急	3	43	zháo jí	anxious	to feel anxious	Taiwan pron. [zhāo jí]		t	1	hsk	
581	照顾	3	35	zhào gu	to take care of	to show consideration	to attend to	to look after	f	2	hsk	
582	照片	3	38	zhào piàn	photograph	picture	CL:張|张	套	f	3	hsk	
583	照相机	3	38	zhào xiàng jī	camera	CL:個|个	架	部	f	3	hsk	
584	只	3	35	zhī	classifier for birds and certain animals	one of a pair	some utensils	vessels etc	f	1	hsk	
585	只	3	35	zhǐ	only	only			t	3	hsk	
586	终于	3	29	zhōng yú	finally	in the end	finally	eventually	t	4	hsk	
587	中间	3	29	zhōng jiān	between	intermediate	mid	middle	f	4	hsk	
588	种	3	44	zhǒng	type	genus	race	seed	t	1	hsk	
589	重要	3	26	zhòng yào	important	significant	major		f	4	hsk	
590	周末	3	38	zhōu mò	weekend				f	1	hsk	
591	主要	3	40	zhǔ yào	main	principal	major	primary	f	2	hsk	
592	祝	3	36	zhù	to wish	to express good wishes	to pray	(old) wizard	f	2	hsk	
593	注意	3	29	zhù yì	pay attention	to pay attention to			t	3	hsk	
594	字典	3	37	zì diǎn	dictionary	character dictionary	CL:本[běn]		f	2	hsk	
595	自己	3	31	zì jǐ	oneself	one's own			f	2	hsk	
596	总是	3	38	zǒng shì	always				f	3	hsk	
597	最近	3	40	zuì jìn	recent	recently	these days	latest	f	2	hsk	
598	作业	3	33	zuò yè	homework	homework	work	task	t	1	hsk	
599	作用	3	30	zuò yòng	to act on	to affect	action	function	f	2	hsk	
600	爱情	3	40	ài qíng	romance	love (romantic)	CL:個|个[gè]		f	2	hsk	
601	安排	4		ān pái	to arrange	to plan	to set up		f		hsk	
602	安全	4		ān quán	safe	secure	safety	security	f		hsk	
603	暗	4	80	àn	dark	to eclipse	muddled	stupid	t	1	hsk	
604	按时	4	60	àn shí	on time	before deadline	on schedule		f	2	hsk	
605	按照	4	82	àn zhào	according to	in accordance with	in the light of	on the basis of	f	1	hsk	
606	包括	4		bāo kuò	to comprise	to include	to involve	to incorporate	f		hsk	
607	保护	4	73	bǎo hù	to protect	to defend	to safeguard	protection	f	2	hsk	
608	保证	4	60	bǎo zhèng	guarantee	to guarantee	to ensure	to safeguard	f	2	hsk	
609	抱	4	56	bào	to hold	to carry (in one's arms)	to hug or embrace	surround	f	1	hsk	
610	抱歉	4	93	bào qiàn	to be sorry	to feel apologetic	sorry!		f	1	hsk	
611	报道	4	66	bào dào	report	CL:篇	份[fèn]		f	2	hsk	
612	报名	4	61	bào míng	to sign up	to enter one's name	to apply	to register	f	2	hsk	
613	倍	4	53	bèi	times (multiplication)	three etc) -fold	times (multiplier)	double	t	4	hsk	
614	本来	4	93	běn lái	original	originally	at first	it goes without saying	f	3	hsk	
615	笨	4	71	bèn	stupid	foolish	silly	slow-witted	f	1	hsk	
616	笔记本	4	49	bǐ jì běn	notebook	CL:本[běn]			f	2	hsk	
617	毕业	4	49	bì yè	graduation	to graduate	to finish school		f	1	hsk	
618	遍	4	66	biàn	times	all over	classifier for actions: one time		t	2	hsk	
619	标准	4	58	biāo zhǔn	(an official) standard	norm	criterion	CL:個|个[gè]	f	2	hsk	
620	表达	4	70	biǎo dá	to express	to express	to convey		t	1	hsk	
621	表格	4		biǎo gé	form	table	CL:張|张	份[fèn]	f		hsk	
622	表扬	4	94	biǎo yáng	to praise	to commend			f	2	hsk	
623	饼干	4	48	bǐng gān	biscuit	cracker	cookie	CL:片	f	3	hsk	
624	并且	4	71	bìng qiě	and	besides	moreover	furthermore	f	2	hsk	
625	博士	4		bó shì	doctor	court academician (in feudal China)	Ph.D.		f		hsk	
626	不但	4	62	bù dàn	not only (... but also...)				f	1	hsk	
627	不过	4		bù guò	only	merely	no more than	but	f		hsk	
628	不得不	4	49	bù dé bù	have no choice but to	cannot but	have to	can't help it	t	3	hsk	
629	不管	4	93	bù guǎn	no matter (what	how)	regardless of	no matter	f	2	hsk	
630	不仅	4	57	bù jǐn	not only (this one)	not just (...) but also			f	3	hsk	
631	部分	4	57	bù fèn	part	share	section	piece	f	2	hsk	
632	擦	4		cā	to wipe	to erase	rubbing (brush stroke in painting)	to clean	f		hsk	
633	猜	4	49	cāi	to guess				f	3	hsk	
634	材料	4	83	cái liào	material	data	makings	stuff	f	1	hsk	
635	参观	4	49	cān guān	to look around	to tour	to visit		f	1	hsk	
636	差不多	4	55	chà bu duō	almost	nearly	more or less	about the same	f	2	hsk	
637	长城	4	47	Cháng chéng	the Great Wall				f	2	hsk	
638	长江	4	47	Cháng Jiāng	Yangtze River	or Chang Jiang			f	2	hsk	
639	尝	4	48	cháng	to taste				f	1	hsk	
640	场	4		chǎng	large place used for a specific purpose	stage	scene (of a play)	classifier for sporting or recreational activities	f		hsk	
641	超过	4	59	chāo guò	to surpass	to exceed	to outstrip		f	2	hsk	
642	吵	4	63	chǎo	to quarrel	to make a noise	noisy	to disturb by making a noise	f	4	hsk	
643	乘坐	4	52	chéng zuò	to ride (in a vehicle)				f	1	hsk	
644	成功	4	92	chéng gōng	success	to succeed	CL:次	個|个[gè]	f	1	hsk	
645	成熟	4	78	chéng shú	ripe	ripe	to mature	to ripen	t	3	hsk	
646	成为	4	95	chéng wéi	to become	to turn into			f	2	hsk	
647	诚实	4	71	chéng shí	honest	honesty	honorable	truthful	f	3	hsk	
648	吃惊	4	49	chī jīng	to be startled	to be shocked	to be amazed		f	2	hsk	
649	重新	4	66	chóng xīn	again	once more	re-		f	2	hsk	
650	抽烟	4	79	chōu yān	to smoke (a cigarette	tobacco)			f	1	hsk	
651	出差	4	51	chū chāi	to go on an official or business trip				f	3	hsk	
652	出发	4	52	chū fā	to start out	to set off			f	1	hsk	
653	出生	4	82	chū shēng	to be born				f	3	hsk	
654	传真	4	72	chuán zhēn	fax	facsimile			f	1	hsk	
655	窗户	4	53	chuāng hu	window	CL:個|个	扇[shàn]		f	1	hsk	
656	词典	4	57	cí diǎn	dictionary	also written 辭典|辞典[cí diǎn]	CL:部	本[běn]	t	3	hsk	
657	从来	4	47	cóng lái	never (when used with a negated verb)	at all times	never (if used in negative sentence)		t	4	hsk	
658	粗心	4		cū xīn	careless	thoughtless			f		hsk	
659	答案	4	49	dá àn	answer	solution	CL:個|个[gè]		f	3	hsk	
660	打扮	4	61	dǎ ban	to dress	to dress	to make up	to adorn	t	2	hsk	
661	打扰	4	79	dǎ rǎo	to disturb	to bother	to trouble		f	1	hsk	
662	打印	4	72	dǎ yìn	to print	to seal	to stamp		f	2	hsk	
663	打折	4	55	dǎ zhé	to give a discount				f	1	hsk	
664	打针	4	54	dǎ zhēn	to give or have an injection				f	3	hsk	
665	大概	4	92	dà gài	roughly	probably	rough	approximate	f	2	hsk	
666	大使馆	4	58	dà shǐ guǎn	embassy	CL:座	個|个[gè]		f	1	hsk	
