id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
2885	担保	6		dān bǎo	to guarantee	to vouch for			f		hsk	
2886	胆怯	6		dǎn qiè	timid	cowardly			f		hsk	
2887	淡季	6		dàn jì	off season	slow business season	see also 旺季[wàng jì]		f		hsk	
2888	淡水	6		dàn shuǐ	potable water (water with low salt content)	fresh water			f		hsk	
2889	蛋白质	6		dàn bái zhì	protein				f		hsk	
2890	诞辰	6		dàn chén	birthday				f		hsk	
2891	诞生	6		dàn shēng	to be born				f		hsk	
2892	当场	6		dāng chǎng	at the scene	on the spot			f		hsk	
2893	当初	6		dāng chū	at that time	originally			f		hsk	
2894	当面	6		dāng miàn	to sb's face	in sb's presence			f		hsk	
2895	当前	6		dāng qián	current	today's	modern	present	f		hsk	
2896	当事人	6		dāng shì rén	persons involved or implicated	party (to an affair)			f		hsk	
2897	当务之急	6		dāng wù zhī jí	top priority job	matter of vital importance			f		hsk	
2898	当心	6		dāng xīn	to take care	to look out			f		hsk	
2899	当选	6		dāng xuǎn	to be elected				f		hsk	
2900	党	6		dǎng	party	association	club	society	f		hsk	
2901	档案	6		dàng àn	file	record	archive		f		hsk	
2902	档次	6		dàng cì	grade	class	quality	level	f		hsk	
2903	岛屿	6		dǎo yǔ	island				f		hsk	
2904	倒闭	6		dǎo bì	to go bankrupt	to close down			f		hsk	
2905	导弹	6		dǎo dàn	guided missile	cruise missile	missile	CL:枚[méi]	f		hsk	
2906	导航	6		dǎo háng	navigation				f		hsk	
2907	导向	6		dǎo xiàng	to be oriented towards	orientation			f		hsk	
2908	捣乱	6		dǎo luàn	to disturb	to look for trouble	to stir up a row	to bother sb intentionally	f		hsk	
